 ID товара: , ISBN , Возраст , Год издания , Издательство , Кол-во страниц , Переводчик , Редактор , Серия , Тип обложки , Тираж , Формат , Художник ,ID карточки,Автор,Голоса,Название,Обложка,Рейтинг,Цена
 2607833 , 9785699973705 , 12+ , 2017 , Эксмо , 416 ,, Суворова Т. , Мефодий Буслаев. Легендарное детское фэнтези , Твердая бумажная , 4000 , 21.8 x 14.5 x 2.5 ,,1002042, Емец Д. ,0,Лед и пламя Тартара,https://img-gorod.ru/upload/iblock/2da/2dacc6865a5743a87ebbd516d7ac59be.jpg,0.0,342.0
 2608544 , 9785171053802 , 18+ , 2017 , АСТ , 288 ,,, Миры Макса Фрая , Твердая бумажная , 7000 , 20.6 x 13.2 x 2.3 ,,1004167, Фрай М. ,4,Новая чайная книга,https://img-gorod.ru/upload/iblock/f22/f22f1a02e0062cec44f5256f9b227860.jpg,5.0,332.0
 2608971 , 9785001111900 , 6+ , 2017 , Абрис , 350 , Голосовская А.Ю. ,, Земля Отважных , Твердая бумажная , 7000 , 20.6 x 13 x 1.7 , Насыров Л.Х. ,1004240, Хантер Э. ,1,Расколотый прайд,https://img-gorod.ru/upload/iblock/b32/b32d2f0e1df0708f36657ebe80d85155.jpg,5.0,285.0
 2611099 , 9785699973712 , 12+ , 2017 , Эксмо , 416 ,,, Мефодий Буслаев. Легендарное детское фэнтези , Твердая бумажная , 4000 , 21.2 x 13.5 x 2.3 ,,1006687, Емец Д. ,0,Первый эйдос,https://img-gorod.ru/upload/iblock/dc4/dc4ba54d042e9ef7573a186b90c0d205.jpg,0.0,342.0
 2611890 , 9785179827924 , 16+ , 2017 , АСТ , 416 ,, Кравченко Е. , Сновидения Ехо , Твердая бумажная , 27000 , 20.7 x 13.3 x 2 ,,1007486, Фрай М. ,14,Отдай мое сердце,https://img-gorod.ru/upload/iblock/8a9/8a929aaf19e2a3a1534eb3c27a61e785.jpg,4.0,423.0
 2612352 , 9785001111733 , 6+ , 2017 , Абрис , 350 , Вероника Максимова ,, Коты-воители , Твердая бумажная , 6000 , 20.7 x 13.2 x 2 ,,1008090, Хантер Э. ,3,Нерассказанные истории. Ярость когтя,https://img-gorod.ru/upload/iblock/938/93828c36282d107bfab2d432aba2d190.jpg,5.0,304.0
 2612809 , 9785171053819 , 18+ , 2018 , АСТ , 320 ,,, Миры Макса Фрая , Твердая бумажная , 8000 , 20.7 x 13.2 x 2.6 ,,1008621, Фрай М. ,7,Новая кофейная книга,https://img-gorod.ru/upload/iblock/5cd/5cd20b7f507a9cbd704bd8f4d64e688a.jpg,4.0,332.0
 2613113 , 9785001111528 ,, 2017 , Абрис ,,,, Коты-воители ,,, 18.9 x 13 x 2.6 ,,1008941, Хантер Э. ,4,Крутобок & Бич (комплект из 4 книг),https://img-gorod.ru/upload/iblock/c7e/c7e7c5fb9f6db1258bd4b937ccc1d248.jpg,5.0,486.0
 2613114 , 9785001110576 ,, 2017 , Абрис ,,,, Коты-воители ,,, 18.9 x 12.7 x 2 ,,1008942, Хантер Э. ,2,Звездоцап и Саша (комплект из 3 книг),https://img-gorod.ru/upload/iblock/d21/d2129cdbb34bfca1e5419fc88980a123.jpg,5.0,387.0
 2613127 , 9785001110651 ,, 2017 , Абрис ,,,, Коты-воители ,,, 19 x 12.6 x 2.1 ,,1008955, Хантер Э. ,3,Судьба Горелого (комплект из 3 книг),https://img-gorod.ru/upload/iblock/a67/a674a87b97f3bb000b588a92829f7120.jpg,3.0,387.0
